Timestamp,Platform,Hours_played,Which type of games do you enjoy playing the MOST? ,How often do you play games?,Addiction_level,how do you feel gaming is affects your Academics.,By what method do you download games.,Do you Play games with friends,Do you participate in competitive or esports gaming?,"How often do you purchase in-game items (e.g., skins, battle passes, currency)?",What time of day do you primarily game?,Why do you play games?,Sleep_impact,Answer these questions on the scale of 1-5 on how gaming affects these aspects. [stress reduction],Have you ever made friends online.
04-02-2026 13:42,Mobile (Smartphone/Tablet),2–4 hrs,"Single Player story based games, Offline mobile games",Daily,3,Positively,play only free games,yes,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Stress relief,5(very negative),2,No
04-02-2026 13:47,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,"Single Player story based games, Offline mobile games",Occationally,1,No effect,Pirate it,No,"No, I prefer single-player games",Never,Evening (5 PM - 9 PM),Entertainment,1(very positive),1(very positive),yes
04-02-2026 13:50,"Console (PlayStation, Xbox, Nintendo)",4+ hrs,Online Multiplayer Games,Daily,5,Positively,Buy it,No,"No, I prefer single-player games",Rarely (1-2 times a year),Morning (Before 12 PM),Competition,1(very positive),1(very positive),No
04-02-2026 13:54,PC (Desktop/Laptop),1–2 hrs,Single Player story based games,Weekly,2,Positively,Buy it,yes,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Entertainment,3,3,yes
04-02-2026 13:54,PC (Desktop/Laptop),1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,2,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Socializing,5(very negative),1(very positive),yes
04-02-2026 13:54,"PC (Desktop/Laptop), Console (PlayStation, Xbox, Nintendo), Mobile (Smartphone/Tablet), Cloud Gaming Services (e.g., GeForce NOW, Xbox Cloud Gaming)",<1 hr,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Daily,5,No effect,Pirate it,yes,"Yes, as a serious competitor",Weekly or more often,Morning (Before 12 PM),Entertainment,5(very negative),1(very positive),yes
04-02-2026 13:55,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,Online Multiplayer Games,Daily,4,Positively,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Stress relief,4,1(very positive),yes
04-02-2026 13:55,PC (Desktop/Laptop),1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,3,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,4,1(very positive),yes
04-02-2026 13:55,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Offline mobile games",Daily,4,Positively,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Stress relief,4,1(very positive),yes
04-02-2026 13:55,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,Online Multiplayer Games,Occationally,2,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,4,2,yes
04-02-2026 13:57,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Occationally,4,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Stress relief,5(very negative),1(very positive),yes
04-02-2026 13:57,Mobile (Smartphone/Tablet),<1 hr,Online Multiplayer Games,Rarely,1,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,2,3,yes
04-02-2026 13:58,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,1,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Stress relief,1(very positive),3,yes
04-02-2026 13:59,Mobile (Smartphone/Tablet),<1 hr,Online Multiplayer Games,Weekly,1,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Entertainment,3,1(very positive),yes
04-02-2026 14:00,"Console (PlayStation, Xbox, Nintendo)",4+ hrs,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Daily,5,Negatively,Buy it,yes,"Yes, as a serious competitor",Weekly or more often,Morning (Before 12 PM),Stress relief,5(very negative),1(very positive),No
04-02-2026 14:00,PC (Desktop/Laptop),<1 hr,Online Multiplayer Games,Occationally,4,Positively,Pirate it,yes,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Stress relief,4,1(very positive),No
04-02-2026 14:01,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,Single Player story based games,Daily,4,No effect,Pirate it,yes,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Stress relief,4,1(very positive),yes
04-02-2026 14:02,PC (Desktop/Laptop),2–4 hrs,Single Player story based games,Daily,1,No effect,Pirate it,yes,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Entertainment,1(very positive),1(very positive),yes
04-02-2026 14:02,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,Online Multiplayer Games,Daily,,Negatively,play only free games,yes,"No, I only play non-competitive modes",Never,Overnight (After 2 AM),Entertainment,3,2,No
04-02-2026 14:03,PC (Desktop/Laptop),<1 hr,Online Multiplayer Games,Rarely,1,No effect,play only free games,yes,"No, I only play non-competitive modes",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Stress relief,1(very positive),1(very positive),yes
04-02-2026 14:03,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,2,No effect,Pirate it,No,"No, I prefer single-player games",Never,Late Night (9 PM - 2 AM),Entertainment,3,1(very positive),yes
04-02-2026 14:04,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,Online Multiplayer Games,Daily,2,No effect,Buy it,yes,"Yes, casually (playing ranked modes)",Never,Afternoon (12 PM - 5 PM),Competition,3,2,No
04-02-2026 14:04,PC (Desktop/Laptop),<1 hr,Online Multiplayer Games,Occationally,4,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,4,1(very positive),yes
04-02-2026 14:07,Mobile (Smartphone/Tablet),<1 hr,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Rarely,1,Positively,,yes,,Never,,Entertainment,,,No
04-02-2026 14:08,PC (Desktop/Laptop),<1 hr,Online Multiplayer Games,Weekly,1,No effect,Pirate it,yes,"No, I only play non-competitive modes",Rarely (1-2 times a year),Evening (5 PM - 9 PM),Entertainment,3,1(very positive),No
04-02-2026 14:08,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,2,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Afternoon (12 PM - 5 PM),Entertainment,3,1(very positive),No
04-02-2026 14:10,PC (Desktop/Laptop),2–4 hrs,"Online Multiplayer Games, Single Player story based games",Daily,3,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Evening (5 PM - 9 PM),Entertainment,3,2,yes
04-02-2026 14:13,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,3,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Occasionally (Every few months),Late Night (9 PM - 2 AM),Stress relief,3,4,yes
